dataelement,shortname,code,dataelementuid,dataelementdesc
"HTS_TST (N, TA, Inpat/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, TA, Inpat/Agg Age/Sex/Result)",HTC_TST_N_TA_Inpat_Agg_Age_Sex_Result,aJ1koCyQC6y,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, Malnutrition/Result/<5): HTS received results","HTS_TST (N, TA, Malnutrition/Result/<5)",HTC_TST_N_TA_Malnutrition_Result_lt5,HAziRkZmALD,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, OtherPITC/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, OtherPITC/Age>10/Sex/Result)",HTC_TST_N_TA_OtherPITC_Agegt10_Sex_Result,MH4oMabkUNX,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, OtherPITC/AgeLessThanTen/Result): HTS received results","HTS_TST (N, TA, OtherPITC/Age<10/Result)",HTC_TST_N_TA_OtherPITC_Agelt10_Result,Bs3q3x9L18h,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, OtherPITC/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, TA, OtherPITC/Agg Age/Sex/Result)",HTC_TST_N_TA_OtherPITC_Agg_Age_Sex_Result,LNHM2CKRfr6,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, Pediatric/Result/<5): HTS received results","HTS_TST (N, TA, Pediatric/Result/<5)",HTC_TST_N_TA_Pediatric_Result_lt5,P2dqpGI0Bkl,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, PMTCT ANC/Age/Female/Result): HTS received results","HTS_TST (N, TA, PMTCT ANC/Age/F/Result)",HTC_TST_N_TA_PMTCT_ANC_Age_F_Result,kQKUdt1paoU,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, PMTCT ANC/Aggregated Age/Female/Result): HTS received results","HTS_TST (N, TA, PMTCT ANC/Agg Age/F/Result)",HTC_TST_N_TA_PMTCT_ANC_Agg_Age_F_Result,TWJYa19khWJ,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, TBClinic/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, TBClinic/Age>10/Sex/Result)",HTC_TST_N_TA_TBClinic_Agegt10_Sex_Result,suq5sM9Kwt5,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, TBClinic/AgeLessThanTen/Result): HTS received results","HTS_TST (N, TA, TBClinic/Age<10/Result)",HTC_TST_N_TA_TBClinic_Agelt10_Result,EuwUQZXqQjR,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, TBClinic/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, TA, TBClinic/Agg Age/Sex/Result)",HTC_TST_N_TA_TBClinic_Agg_Age_Sex_Result,GPSKuITaTsM,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, VCT/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, VCT/Age>10/Sex/Result)",HTC_TST_N_TA_VCT_Agegt10_Sex_Result,DMmrA50uEoi,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, VCT/AgeLessThanTen/Result): HTS received results","HTS_TST (N, TA, VCT/Age<10/Result)",HTC_TST_N_TA_VCT_Agelt10_Result,DHvb3izTKfg,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, VCT/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, TA, VCT/Agg Age/Sex/Result)",HTC_TST_N_TA_VCT_Agg_Age_Sex_Result,qnh8cIutL46,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, VMMC/Age/Male/Result): HTS received results","HTS_TST (N, TA, VMMC/Age/M/Result)",HTC_TST_N_TA_VMMC_Age_M_Result,kOFY7Na8Dot,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, VMMC/Aggregated Age/Male/Result): HTS received results","HTS_TST (N, TA, VMMC/Agg Age/M/Result)",HTC_TST_N_TA_VMMC_Agg_Age_M_Result,dU3IZA5UHZI,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"KP_MAT (N, DSD, Sex) v2: PWID on MAT","KP_MAT (N, DSD, Sex) v2",KP_MAT_N_DSD_Sex_v2,yX1CwrqkCzr,"Number of people who inject drugs (PWID) who are receiving medication assisted therapy (MAT)."
"KP_MAT (N, TA, Sex) v2: PWID on MAT","KP_MAT (N, TA, Sex) v2",KP_MAT_N_TA_Sex_v2,z7ERgSsbzNn,"Number of people who inject drugs (PWID) who are receiving medication assisted therapy (MAT)."
"LAB_PTCQI_LAB (N, NoApp, AccProgram): LabSurvey","LAB_PTCQI_LAB (N, NoApp, AccProgram)",LAB_PTCQI_LAB_N_NoApp_AccProgram,bVL22kGxWD0,Accreditation
"LAB_PTCQI_LAB (N, NoApp, DoesNotMeetAcc): LabSurvey","LAB_PTCQI_LAB (N, NoApp, DoesNotMeetAcc)",LAB_PTCQI_LAB_N_NoApp_DoesNotMeetAcc,J73jFIisZVt,Accreditation
"LAB_PTCQI_LAB (N, NoApp, EIDParticipPT): LabSurvey","LAB_PTCQI_LAB (N, NoApp, EIDParticipPT)",LAB_PTCQI_LAB_N_NoApp_EIDParticipPT,WKMlCwlAyhR,"Proficiency Testing"
"LAB_PTCQI_LAB (N, NoApp, EIDPassPT): LabSurvey","LAB_PTCQI_LAB (N, NoApp, EIDPassPT)",LAB_PTCQI_LAB_N_NoApp_EIDPassPT,baCUStjzLvI,"Proficiency Testing"
"LAB_PTCQI_LAB (N, NoApp, EIDPerfTest): LabSurvey","LAB_PTCQI_LAB (N, NoApp, EIDPerfTest)",LAB_PTCQI_LAB_N_NoApp_EIDPerfTest,keni8H1IWyo,"Proficiency Testing"
"LAB_PTCQI_LAB (N, NoApp, FullyAccredited): LabSurvey","LAB_PTCQI_LAB (N, NoApp, FullyAccredited)",LAB_PTCQI_LAB_N_NoApp_FullyAccredited,sQ0ScDMBr3k,Accreditation
"LAB_PTCQI_LAB (N, NoApp, HIV DiagnosisParticipPT): LabSurvey","LAB_PTCQI_LAB (N, NoApp, HIV DiagnosisParticipPT)",LAB_PTCQI_LAB_N_NoApp_HIV_DiagnosisParticipPT,E03wSrFHjg1,"Proficiency Testing"
"LAB_PTCQI_LAB (N, NoApp, HIV DiagnosisPassPT): LabSurvey","LAB_PTCQI_LAB (N, NoApp, HIV DiagnosisPassPT)",LAB_PTCQI_LAB_N_NoApp_HIV_DiagnosisPassPT,bctdCtzDyEQ,"Proficiency Testing"
"LAB_PTCQI_LAB (N, NoApp, HIV DiagnosisPerfTest): LabSurvey","LAB_PTCQI_LAB (N, NoApp, HIV DiagnosisPerfTest)",LAB_PTCQI_LAB_N_NoApp_HIV_DiagnosisPerfTest,uNAYoKXKPOM,"Proficiency Testing"
"LAB_PTCQI_LAB (N, NoApp, HIV ViralLdParticipPT): LabSurvey","LAB_PTCQI_LAB (N, NoApp, HIV ViralLdParticipPT)",LAB_PTCQI_LAB_N_NoApp_HIV_ViralLdParticipPT,j0Wm2puihlH,"Proficiency Testing"
"LAB_PTCQI_LAB (N, NoApp, HIV ViralLdPassPT): LabSurvey","LAB_PTCQI_LAB (N, NoApp, HIV ViralLdPassPT)",LAB_PTCQI_LAB_N_NoApp_HIV_ViralLdPassPT,UiXVxXGSfJt,"Proficiency Testing"
"LAB_PTCQI_LAB (N, NoApp, HIV ViralLdPerfTest): LabSurvey","LAB_PTCQI_LAB (N, NoApp, HIV ViralLdPerfTest)",LAB_PTCQI_LAB_N_NoApp_HIV_ViralLdPerfTest,NVRtYE0GVnw,"Proficiency Testing"
"LAB_PTCQI_LAB (N, NoApp, TBAFBParticipPT): LabSurvey","LAB_PTCQI_LAB (N, NoApp, TBAFBParticipPT)",LAB_PTCQI_LAB_N_NoApp_TBAFBParticipPT,a5dVf8ROhC7,"Proficiency Testing"
"LAB_PTCQI_LAB (N, NoApp, TBAFBPassPT): LabSurvey","LAB_PTCQI_LAB (N, NoApp, TBAFBPassPT)",LAB_PTCQI_LAB_N_NoApp_TBAFBPassPT,A3n6FAx4YaF,"Proficiency Testing"
"LAB_PTCQI_LAB (N, NoApp, TBAFBPerfTest): LabSurvey","LAB_PTCQI_LAB (N, NoApp, TBAFBPerfTest)",LAB_PTCQI_LAB_N_NoApp_TBAFBPerfTest,KZdzaLqIk7Z,"Proficiency Testing"
"LAB_PTCQI_LAB (N, NoApp, TB CultureParticipPT): LabSurvey","LAB_PTCQI_LAB (N, NoApp, TB CultureParticipPT)",LAB_PTCQI_LAB_N_NoApp_TB_CultureParticipPT,MwtVucBN25u,"Proficiency Testing"
"LAB_PTCQI_LAB (N, NoApp, TB CulturePassPT): LabSurvey","LAB_PTCQI_LAB (N, NoApp, TB CulturePassPT)",LAB_PTCQI_LAB_N_NoApp_TB_CulturePassPT,lMdMnllwzlw,"Proficiency Testing"
"LAB_PTCQI_LAB (N, NoApp, TB CulturePerfTest): LabSurvey","LAB_PTCQI_LAB (N, NoApp, TB CulturePerfTest)",LAB_PTCQI_LAB_N_NoApp_TB_CulturePerfTest,B0ahXafyw0V,"Proficiency Testing"
"LAB_PTCQI_LAB (N, NoApp, TB XpertParticipPT): LabSurvey","LAB_PTCQI_LAB (N, NoApp, TB XpertParticipPT)",LAB_PTCQI_LAB_N_NoApp_TB_XpertParticipPT,aJbBcQDD9fn,"Proficiency Testing"
"LAB_PTCQI_LAB (N, NoApp, TB XpertPassPT): LabSurvey","LAB_PTCQI_LAB (N, NoApp, TB XpertPassPT)",LAB_PTCQI_LAB_N_NoApp_TB_XpertPassPT,hksQOcvyBX9,"Proficiency Testing"
"LAB_PTCQI_LAB (N, NoApp, TB XpertPerfTest): LabSurvey","LAB_PTCQI_LAB (N, NoApp, TB XpertPerfTest)",LAB_PTCQI_LAB_N_NoApp_TB_XpertPerfTest,oDdRKCNwBmm,"Proficiency Testing"
"LAB_PTCQI (N, NoApp, LabType): LabSurvey","LAB_PTCQI (N, NoApp, LabType)",LAB_PTCQI_N_NoApp_LabType,UiGsrr5mErm,"Lab Type"
"LAB_PTCQI_POCT (N, NoApp, AccLevel): POCT Survey","LAB_PTCQI_POCT (N, NoApp, AccLevel)",LAB_PTCQI_POCT_N_NoApp_AccLevel,nYO40QwcXgn,Accreditation
"LAB_PTCQI_POCT (N, NoApp, AccProgram): POCT Survey","LAB_PTCQI_POCT (N, NoApp, AccProgram)",LAB_PTCQI_POCT_N_NoApp_AccProgram,X4kJtOHgGcr,Accreditation
"LAB_PTCQI_POCT (N, NoApp, EIDParticipPT): POCT Survey","LAB_PTCQI_POCT (N, NoApp, EIDParticipPT)",LAB_PTCQI_POCT_N_NoApp_EIDParticipPT,sPK1zZ3x10r,"Proficiency Testing"
"LAB_PTCQI_POCT (N, NoApp, EIDPassPT): POCT Survey","LAB_PTCQI_POCT (N, NoApp, EIDPassPT)",LAB_PTCQI_POCT_N_NoApp_EIDPassPT,tJQKYvCwtd4,"Proficiency Testing"
"LAB_PTCQI_POCT (N, NoApp, EIDPerfTest): POCT Survey","LAB_PTCQI_POCT (N, NoApp, EIDPerfTest)",LAB_PTCQI_POCT_N_NoApp_EIDPerfTest,Il0yO1ye5yd,"Proficiency Testing"
"LAB_PTCQI_POCT (N, NoApp, HIVRTParticipPT): POCT Survey","LAB_PTCQI_POCT (N, NoApp, HIVRTParticipPT)",LAB_PTCQI_POCT_N_NoApp_HIVRTParticipPT,aOd41s6Ciza,"Proficiency Testing"
"LAB_PTCQI_POCT (N, NoApp, HIVRTPassPT): POCT Survey","LAB_PTCQI_POCT (N, NoApp, HIVRTPassPT)",LAB_PTCQI_POCT_N_NoApp_HIVRTPassPT,z59qvXh3EKn,"Proficiency Testing"
"LAB_PTCQI_POCT (N, NoApp, HIVRTPerfTest): POCT Survey","LAB_PTCQI_POCT (N, NoApp, HIVRTPerfTest)",LAB_PTCQI_POCT_N_NoApp_HIVRTPerfTest,k8UkJL9NGgR,"Proficiency Testing"
"LAB_PTCQI_POCT (N, NoApp, HIV ViralLdParticipPT): POCT Survey","LAB_PTCQI_POCT (N, NoApp, HIV ViralLdParticipPT)",LAB_PTCQI_POCT_N_NoApp_HIV_ViralLdParticipPT,tAF1PzKKpd6,"Proficiency Testing"
"LAB_PTCQI_POCT (N, NoApp, HIV ViralLdPassPT): POCT Survey","LAB_PTCQI_POCT (N, NoApp, HIV ViralLdPassPT)",LAB_PTCQI_POCT_N_NoApp_HIV_ViralLdPassPT,ELpT3YuL14I,"Proficiency Testing"
"LAB_PTCQI_POCT (N, NoApp, HIV ViralLdPerfTest): POCT Survey","LAB_PTCQI_POCT (N, NoApp, HIV ViralLdPerfTest)",LAB_PTCQI_POCT_N_NoApp_HIV_ViralLdPerfTest,aZcXEhWEFdR,"Proficiency Testing"
"LAB_PTCQI_POCT (N, NoApp, TB XpertParticipPT): POCT Survey","LAB_PTCQI_POCT (N, NoApp, TB XpertParticipPT)",LAB_PTCQI_POCT_N_NoApp_TB_XpertParticipPT,K40oIWa9b7i,"Proficiency Testing"
"LAB_PTCQI_POCT (N, NoApp, TB XpertPassPT): POCT Survey","LAB_PTCQI_POCT (N, NoApp, TB XpertPassPT)",LAB_PTCQI_POCT_N_NoApp_TB_XpertPassPT,urOfPg3MqbI,"Proficiency Testing"
"LAB_PTCQI_POCT (N, NoApp, TB XpertPerfTest): POCT Survey","LAB_PTCQI_POCT (N, NoApp, TB XpertPerfTest)",LAB_PTCQI_POCT_N_NoApp_TB_XpertPerfTest,uEbgrv7iWaE,"Proficiency Testing"
"PMTCT_ART (N, DSD, NewExistingArt): ARVs","PMTCT_ART (N, DSD, NewExistingArt)",PMTCT_ART_N_DSD_NewExistingArt,wPfGMcoz1Z0,"Number of HIV-positive pregnant women who received ART to reduce the risk of mother-to-child-transmission during pregnancy"
"PMTCT_ART (N, TA, NewExistingArt): ARVs","PMTCT_ART (N, TA, NewExistingArt)",PMTCT_ART_N_TA_NewExistingArt,rb82K8xbWsO,"Number of HIV-positive pregnant women who received ART to reduce the risk of mother-to-child-transmission during pregnancy"
"PMTCT_EID (N, DSD, Age/HIVStatus): Infant Testing","PMTCT_EID (N, DSD, Age/HIVStatus)",PMTCT_EID_N_DSD_Age_HIVStatus,vet57h5gZvw,"Number of infants who had a virologic HIV test within 12 months of birth during the reporting period. Numerator will auto-calculate from the Infant Test Results."
"PMTCT_EID (N, TA, Age/HIVStatus): Infant Testing","PMTCT_EID (N, TA, Age/HIVStatus)",PMTCT_EID_N_TA_Age_HIVStatus,gxH3ciztARX,"Number of infants who had a virologic HIV test within 12 months of birth during the reporting period. Numerator will auto-calculate from the Infant Test Results."
"PMTCT_FO (D, DSD):Exposed Infants","PMTCT_FO (D, DSD)",PMTCT_FO_D_DSD,jskukqOhI5M,"Number of HIV-exposed infants who were born 24 months prior to the reporting period and registered in the birth cohort."
"PMTCT_FO (D, TA):Exposed Infants","PMTCT_FO (D, TA)",PMTCT_FO_D_TA,hhPP8o3Ey3P,"Number of HIV-exposed infants who were born 24 months prior to the reporting period and registered in the birth cohort."
"PMTCT_FO (N, DSD, Outcome) v2: Final Outcomes Exposed Infants","PMTCT_FO (N, DSD, Outcome) v2",PMTCT_FO_N_DSD_Outcome_v2,KYjkpApPVjU,"Number of HIV-exposed infants with a documented outcome by 18 months of age disaggregated by outcome type. Numerator will auto-calculated from the Outcome Type Disaggregate."
"PMTCT_FO (N, TA, Outcome) v2: Final Outcomes Exposed Infants","PMTCT_FO (N, TA, Outcome) v2",PMTCT_FO_N_TA_Outcome_v2,lImd8FuLzSU,"Number of HIV-exposed infants with a documented outcome by 18 months of age disaggregated by outcome type. Numerator will auto-calculated from the Outcome Type Disaggregate."
"PMTCT_STAT (D, DSD, Age) v2: New ANC clients","PMTCT_STAT (D, DSD, Age) v2",PMTCT_STAT_D_DSD_Age_v2,RD0RqpHbS8A,"Number of new ANC clients in reporting period. Denominator will auto-calculate from the Age Disaggregates."
"PMTCT_STAT (D, TA, Age) v2: New ANC clients","PMTCT_STAT (D, TA, Age) v2",PMTCT_STAT_D_TA_Age_v2,fVtkSh9nTZk,"Number of new ANC clients in reporting period. Denominator will auto-calculate from the Age Disaggregates."
"PMTCT_STAT (N, DSD, Age/KnownNewResult): Known Results","PMTCT_STAT (N, DSD, Age/KnownNewResult)",PMTCT_STAT_N_DSD_Age_KnownNewResult,DOFB0YVZiDO,"Number of pregnant women with known HIV status (includes those who already knew their HIV status prior to ANC)"
"PMTCT_STAT (N, DSD, Age): Known Results","PMTCT_STAT (N, DSD, Age)",PMTCT_STAT_N_DSD_Age,O6ekinArGFg,"Number of pregnant women with known HIV status (includes those who already knew their HIV status prior to ANC)"
"PMTCT_STAT (N, DSD): Known Results","PMTCT_STAT (N, DSD)",PMTCT_STAT_N_DSD,nO2Z2HmcFpc,"Number of pregnant women with known HIV status (includes those who already knew their HIV status prior to ANC)"
"PMTCT_STAT (N, TA, Age/KnownNewResult): Known Results","PMTCT_STAT (N, TA, Age/KnownNewResult)",PMTCT_STAT_N_TA_Age_KnownNewResult,H0WtTbGEp8d,"Number of pregnant women with known HIV status (includes those who already knew their HIV status prior to ANC)"
"PMTCT_STAT (N, TA, Age): Known Results","PMTCT_STAT (N, TA, Age)",PMTCT_STAT_N_TA_Age,yzT8JBvSMIA,"Number of pregnant women with known HIV status (includes those who already knew their HIV status prior to ANC)"
"PMTCT_STAT (N, TA): Known Results","PMTCT_STAT (N, TA)",PMTCT_STAT_N_TA,qKFOfybd72i,"Number of pregnant women with known HIV status (includes those who already knew their HIV status prior to ANC)"
"PrEP_NEW (N, DSD, Age/Sex): Newly Enrolled PrEP","PrEP_NEW (N, DSD, Age/Sex)",PrEP_NEW_N_DSD_Age_Sex,tT9Zqnj6jK1,"Number of individuals who have been newly enrolled on antiretroviral pre-exposure prophylaxis (PrEP) in the reporting period to prevent HIV infection"
"PrEP_NEW (N, DSD, KeyPopAbr): Newly Enrolled PrEP","PrEP_NEW (N, DSD, KeyPopAbr)",PrEP_NEW_N_DSD_KeyPopAbr,JoERp5gZ6o1,"Number of individuals who have been newly enrolled on antiretroviral pre-exposure prophylaxis (PrEP) in the reporting period to prevent HIV infection"
"PrEP_NEW (N, DSD): Newly Enrolled PrEP","PrEP_NEW (N, DSD)",PREP_NEW_N_DSD,WQqBCWI0gND,"Number of individuals who have been newly enrolled on antiretroviral pre-exposure prophylaxis (PrEP) in the reporting period to prevent HIV infection"
"PrEP_NEW (N, TA, Age/Sex): Newly Enrolled PrEP","PrEP_NEW (N, TA, Age/Sex)",PrEP_NEW_N_TA_Age_Sex,DlCcovxP2bA,"Number of individuals who have been newly enrolled on antiretroviral pre-exposure prophylaxis (PrEP) in the reporting period to prevent HIV infection"
"PrEP_NEW (N, TA, KeyPopAbr): Newly Enrolled PrEP","PrEP_NEW (N, TA, KeyPopAbr)",PrEP_NEW_N_TA_KeyPopAbr,spB3CUiPX16,"Number of individuals who have been newly enrolled on antiretroviral pre-exposure prophylaxis (PrEP) in the reporting period to prevent HIV infection"
"PrEP_NEW (N, TA): Newly Enrolled PrEP","PrEP_NEW (N, TA)",PREP_NEW_N_TA,bz61aPNTomM,"Number of individuals who have been newly enrolled on antiretroviral pre-exposure prophylaxis (PrEP) in the reporting period to prevent HIV infection"
"TB_ART (D, DSD, AgeAboveTen/Sex): Registered TB/HIV","TB_ART (D, DSD, Age>10/Sex)",TB_ART_D_DSD_Agegt10_Sex,y6FKWvsn7aN,"Number of registered TB cases with documented HIV-positive status during the reporting period."
"TB_ART (D, DSD, AgeLessThanTen): Registered TB/HIV","TB_ART (D, DSD, Age<10)",TB_ART_D_DSD_Agelt10,QIDrMJTSIdc,"Number of registered TB cases with documented HIV-positive status during the reporting period."
"TB_ART (D, DSD, Aggregated Age/Sex): Registered TB/HIV","TB_ART (D, DSD, Aggregated Age/Sex)",TB_ART_D_DSD_Aggregated_Age_Sex,lE1v68fqOl2,"Number of registered TB cases with documented HIV-positive status during the reporting period."
"TB_ART (D, DSD, NewExistingArt): Registered TB/HIV","TB_ART (D, DSD, NewExistingArt)",TB_ART_D_DSD_NewExistingArt,xFGY34eAOwe,"Number of registered TB cases with documented HIV-positive status during the reporting period."
"TB_ART (D, DSD): Registered TB/HIV","TB_ART (D, DSD)",TB_ART_D_DSD,QcSermxIXum,"Number of registered TB cases with documented HIV-positive status during the reporting period."
"TB_ART (D, TA, AgeAboveTen/Sex): Registered TB/HIV","TB_ART (D, TA, Age>10/Sex)",TB_ART_D_TA_Agegt10_Sex,DiVul02wxP8,"Number of registered TB cases with documented HIV-positive status during the reporting period."
"TB_ART (D, TA, AgeLessThanTen): Registered TB/HIV","TB_ART (D, TA, Age<10)",TB_ART_D_TA_Agelt10,hzgNtnL6Iau,"Number of registered TB cases with documented HIV-positive status during the reporting period."
"TB_ART (D, TA, Aggregated Age/Sex): Registered TB/HIV","TB_ART (D, TA, Aggregated Age/Sex)",TB_ART_D_TA_Aggregated_Age_Sex,ylKiId4HSZT,"Number of registered TB cases with documented HIV-positive status during the reporting period."
"TB_ART (D, TA, NewExistingArt): Registered TB/HIV","TB_ART (D, TA, NewExistingArt)",TB_ART_D_TA_NewExistingArt,z4up7eT5NoO,"Number of registered TB cases with documented HIV-positive status during the reporting period."
"TB_ART (D, TA): Registered TB/HIV","TB_ART (D, TA)",TB_ART_D_TA,oRC75OIO2qL,"Number of registered TB cases with documented HIV-positive status during the reporting period."
"TB_ART (N, DSD, AgeAboveTen/Sex): TB/HIV on ART","TB_ART (N, DSD, Age>10/Sex)",TB_ART_N_DSD_Agegt10_Sex,GgjFxMyAvGz,"Number of TB cases with documented HIV-positive status who start or continue ART during the reporting period."
